sku,categories
/,"cat_3,cat_11,cat_14,cat_21,cat_2224,cat_8"
107659001,"cat_2127,cat_3,cat_14"
107659301,"cat_2127,cat_3,cat_14"
107659501,"cat_2127,cat_3,cat_14"
107660501,"cat_2127,cat_3,cat_14"
107660601,"cat_2127,cat_3,cat_14"
107661301,"cat_2127,cat_3,cat_14"
107661801,"cat_2127,cat_3,cat_14"
107664901,"cat_2127,cat_3,cat_11,cat_14"
107673801,"cat_2127,cat_3,cat_14"
107674601,"cat_2127,cat_3,cat_14"
107674701,"cat_2127,cat_3,cat_14"
107676601,"cat_2127,cat_3,cat_11,cat_14"
107676701,"cat_2127,cat_3,cat_11,cat_14"
107677001,"cat_2127,cat_3,cat_11,cat_14"
107677201,"cat_2127,cat_3,cat_11,cat_14"
107677501,"cat_2127,cat_3,cat_14"
107677601,"cat_2127,cat_3,cat_14"
107677701,"cat_2127,cat_3,cat_14"
107677801,"cat_2127,cat_3,cat_14"
107677901,"cat_2127,cat_3,cat_14"
107678001,"cat_2127,cat_3"
107678101,"cat_2127,cat_3,cat_14"
107678201,"cat_2127,cat_3,cat_14"
107678801,"cat_2127,cat_3,cat_14"
107679001,"cat_2127,cat_3,cat_14"
107681801,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107681901,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107682201,"cat_2127,cat_3,cat_11,cat_14,cat_8"
107682501,"cat_2374,cat_3,cat_115,cat_40,cat_773,cat_8,cat_38"
107682801,"cat_2127,cat_3,cat_14"
107682901,"cat_2127,cat_3,cat_14"
107683001,"cat_2127,cat_3"
107683101,"cat_2127,cat_3,cat_14"
107683201,"cat_2127,cat_3,cat_14"
107683301,"cat_2127,cat_3,cat_14"
107683601,"cat_1968,cat_3,cat_11,cat_14,cat_8"
107687201,"cat_2127,cat_3"
107687301,"cat_2127,cat_3,cat_14"
107687401,"cat_2127,cat_3,cat_14"
107687501,"cat_2127,cat_3,cat_14"
107687801,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688001,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688101,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688201,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688301,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688401,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688501,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688701,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688801,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107688901,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689001,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689101,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689201,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689301,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689401,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689501,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689601,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689801,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107689901,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107690101,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107690201,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107690301,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107690601,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107690701,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107690801,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107690901,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107691001,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107691101,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107691201,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107691601,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107699701,"cat_2127,cat_3,cat_11,cat_14"
107699801,"cat_2127,cat_3,cat_11,cat_14"
107699901,"cat_2127,cat_3,cat_11,cat_14"
1077,"cat_2374,cat_3,cat_8"
107700001,"cat_2127,cat_3,cat_11,cat_14"
107700101,"cat_2127,cat_3,cat_11,cat_14"
107700201,"cat_2127,cat_3,cat_11,cat_14"
107700301,"cat_2127,cat_3,cat_11,cat_14"
107700401,"cat_2127,cat_3,cat_11,cat_14"
107700501,"cat_2127,cat_3,cat_11,cat_14"
107700601,"cat_2127,cat_3,cat_11,cat_14"
107700701,"cat_2127,cat_3,cat_11,cat_14"
107700801,"cat_2127,cat_3,cat_11,cat_14"
107701001,"cat_2127,cat_3,cat_11,cat_14"
107701101,"cat_2127,cat_3,cat_11,cat_14"
107701201,"cat_2127,cat_3,cat_11,cat_14"
107701301,"cat_2127,cat_3,cat_11,cat_14"
107701401,"cat_2127,cat_3,cat_11,cat_14"
107701501,"cat_2127,cat_3,cat_11,cat_14"
107701601,"cat_2127,cat_3,cat_11,cat_14"
107701701,"cat_2127,cat_3,cat_11,cat_14"
107701801,"cat_2127,cat_3,cat_11,cat_14"
107702001,"cat_2127,cat_3,cat_11,cat_14"
107702101,"cat_2127,cat_3,cat_11,cat_14"
107702301,"cat_2127,cat_3,cat_11,cat_14"
107702401,"cat_2127,cat_3,cat_11,cat_14"
107702501,"cat_2127,cat_3,cat_11,cat_14"
107702601,"cat_2127,cat_3,cat_11,cat_14"
107706301,"cat_2127,cat_3,cat_14"
107706401,"cat_2127,cat_3,cat_14"
107706501,"cat_2127,cat_3,cat_11,cat_14"
107716001,"cat_2127,cat_3,cat_14"
107716701,"cat_1968,cat_2374,cat_3,cat_1345,cat_21,cat_2224,cat_8,cat_17"
107722301,"cat_3,cat_11,cat_115,cat_14,cat_8"
107734601,"cat_1968,cat_3,cat_11,cat_1551,cat_21,cat_1558,cat_2224,cat_8,cat_1549"
107736601,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107736701,"cat_2127,cat_3,cat_11,cat_115,cat_14"
107736801,"cat_2127,cat_3,cat_11,cat_115,cat_14"
